#,partid,Description,qtystock,Identifier,qtyonorder,qtyreserved,supplier,manufacturer,manufactuerpart,notes,cost,costqty,datasheet,Package ID,Footprint,Format,ROHS,Storage,Supplier P/N,Qty at CM,Value on Hand,Value on Order
84,H010,110VAC to 24VDC 5A DIN RAIL Power Supply 120W,0,,3,3,Allied,Mean Well,DR-120-24,Power Supply; AC-DC; 24V@5A; 88-132/176-264V In; Enclosed; DIN Rail Mount; DR Series,41.61,1,http://datasheet.octopart.com/DR-120-24-Mean-Well-datasheet-10901323.pdf,,,,,,,0,,124.83
85,H011,110VAC to 24VDC 10A DIN RAIL Power Supply 240W,0,,0,0,Allied,Mean Well,DRP-240-24,DRP-240 Series 240 W Single Output 24 V AC/DC Industrial DIN Rail Power Supply,63.87,1,http://datasheet.octopart.com/DRP-240-24-Mean-Well-datasheet-10901456.pdf,,,,,,,0,,
86,H020,"USB PORT POWER SUPPLY (AC ADAPTER), 5V, 1A (1000mA)",0,,0,0,Allied,Adafruit Industries,501,,6.18,1,http://datasheet.octopart.com/501-Adafruit-Industries-datasheet-21189949.pdf,,,,,,,0,,
87,H030,Power Supply; AC-DC; 5V@3A; 100-264V In; Enclosed; Panel Mount; Switching; RS Series,1,,0,0,Allied,Mean Well,RS-15-5,,10.71,1,http://datasheet.octopart.com/RS-15-5-Mean-Well-datasheet-10901383.pdf,,,,,,,0,10.71,
88,H040,120VAC / 24VAC 1.67A Transformer,0,,0,0,Allied,White Rodgers,90-T40F1,Transformer; Energy Lmt; Foot Mount; Pri: 120V; Sec: 24V; 40VA; 60Hz; 1.67A IO,11.47,1,http://datasheet.octopart.com/90-T40F1-White-Rodgers-datasheet-9666914.pdf,,,,,,,0,,
89,HW-MFST-M2.5-12x6-NYLON,"Male Female standoff, Nylon, M2.5 Thread, 12mm standoff height, 6mm threaded",4,,0,8,,,,$10 for 100,0.1,1,,,,,,,,0,0.4,
90,HW-MFST-M2.5-5x5-NYLON,"Male Female standoff, Nylon, M2.5 Thread, 5mm standoff height, 5mm threaded",0,,0,0,,,,$11 for 100,0.11,1,,,,,,,,0,,
91,HW-MFST-M2.5-6x6-NYLON,"Male Female standoff, Nylon, M2.5 Thread, 6mm standoff height, 6mm threaded",5,,0,10,,,,$12 for 100,0.12,1,,,,,,,,0,0.6,
92,HW-NUT-M2.5-NYLON,Standard M2.5 Nylon nut,4,,0,8,,,,,0.05,1,,,,,,,,0,0.2,
93,K001,"3-position switch, 2NO 22mm",3,,0,2,Eoff,Idec,HW1S-3TF20,Switch Selector N.O. DPST 45° Knob 10A 440VAC 220VDC 745.7VA Screw 500000Cycles Panel Mount,15.34,1,http://datasheet.octopart.com/HW1S-3TF20-Idec-datasheet-20363.pdf,,,,,,,0,46.02,
